Nombre,Total ($),Cantidad,Location
PAN DULCE ( frutos y alm),10999.0,1.0,Centro
PAN DULCE CORAZON D.LECHE,10899.0,1.0,Centro
SALSA PESTO CHICA,10200.0,2.0,Centro
ITALIANO: 1inf + 2 med JQ + jugo ch,9900.0,1.0,Centro
MENDOCINO: 1 inf. g.+1 med o tort,9600.0,3.0,Centro
LICUADO,8600.0,2.0,Centro
Mini torta 15%off en la 2da,8325.0,1.0,Centro
2 budines premium el 2do al 15%,8320.0,1.0,Centro
PAPAS 150 GM,8000.0,1.0,Centro
RISRETTO / CAFE CHICO,7800.0,4.0,Centro
PAN PANINI,7800.0,2.0,Centro
ARGENTO: 1inf + 2 tostadas + queso y dulce + jugo ch,7500.0,1.0,Centro
CEPITA 200 ML,5900.0,5.0,Centro
MOCACCINO,5800.0,2.0,Centro
TE GRANDE,5700.0,3.0,Centro
20 % QUESO RALLADO 50 GR,5520.0,3.0,Centro
BAGUETIN + LATA,5500.0,1.0,Centro
Agnolottis x400gr,5399.0,1.0,Centro
RASPADITA inf.g.+torta+ dips/ tort jyq,5100.0,1.0,Centro
SANDWICH LOMITO CHEDDAR,4500.0,1.0,Centro
ALFAJOR SIN TACC,4500.0,1.0,Centro
BAGUEL VEGGIE,4500.0,1.0,Centro
DANES: inf gde+roll,4300.0,1.0,Centro
TOSTADOS DE MIGA X3,4100.0,1.0,Centro
2 EMPANADAS + 1 BEBIDA LATA,3700.0,1.0,Centro
SUBMARINO/CAFÉ ESPECIALIDAD,2900.0,1.0,Centro
MANZANITAS,2850.0,3.0,Centro
VASO GALLETA,2700.0,1.0,Centro
PAPAS AMERICANAS,2400.0,1.0,Centro
PAIN AU CHOCOLAT (PAN O CHOCOLA),1980.0,2.0,Centro
70% 2ª unid ( roll/ lampo),1868.0,1.0,Centro
